505	571	\N
506	572	\N
517	579	\N
512	577	\N
468	552	\N
504	570	\N
508	574	\N
1567	1274	\N
488	562	\N
513	\N	\N
489	563	\N
519	\N	\N
493	565	\N
516	\N	26
482	\N	\N
494	\N	\N
496	\N	\N
515	\N	\N
1644	\N	148
521	582	\N
575	623	\N
530	\N	\N
1606	1303	\N
529	\N	38
556	\N	\N
1680	1349	\N
1710	1366	\N
552	607	\N
551	606	\N
531	587	\N
536	590	\N
526	\N	\N
549	604	\N
1769	1395	\N
1681	\N	\N
550	605	\N
540	598	\N
533	\N	\N
2454	1790	\N
554	608	\N
564	615	\N
557	610	\N
553	\N	\N
1733	\N	\N
560	611	\N
559	612	\N
566	616	\N
568	617	\N
569	\N	40
558	\N	\N
562	614	\N
544	599	\N
563	\N	\N
1568	1275	\N
570	618	\N
573	621	\N
574	622	\N
571	619	\N
567	\N	\N
572	620	\N
577	\N	\N
534	593	\N
541	595	\N
576	\N	\N
1569	\N	\N
598	640	\N
1607	\N	\N
589	635	\N
592	663	\N
591	\N	\N
1800	\N	158
2574	\N	188
593	637	\N
1682	\N	\N
590	636	\N
1720	\N	\N
1734	\N	\N
603	645	\N
597	643	\N
1770	\N	\N
604	644	\N
594	\N	\N
601	759	\N
606	647	\N
605	\N	\N
595	\N	\N
610	651	\N
625	660	\N
612	653	\N
611	652	\N
624	\N	\N
634	667	\N
602	650	\N
609	649	\N
1825	\N	\N
614	654	\N
616	655	\N
617	656	\N
618	\N	\N
615	658	\N
632	\N	\N
581	627	\N
622	\N	\N
623	659	\N
627	662	\N
586	631	\N
631	665	\N
633	666	\N
628	664	\N
629	\N	\N
630	\N	\N
1570	\N	\N
646	\N	\N
1683	1359	\N
649	680	\N
1735	1376	\N
651	686	\N
656	685	\N
2367	\N	\N
679	703	\N
652	\N	\N
648	\N	43
1721	\N	\N
659	687	\N
658	\N	\N
681	\N	\N
647	679	\N
663	692	\N
661	689	\N
662	691	\N
672	861	\N
669	696	\N
665	694	\N
654	683	\N
664	693	\N
674	700	\N
686	708	\N
670	766	\N
673	698	\N
653	682	\N
680	704	\N
671	697	\N
685	707	\N
1771	\N	\N
613	681	\N
687	\N	\N
657	\N	\N
677	\N	\N
676	701	\N
691	710	\N
678	702	\N
683	\N	45
1608	1304	\N
689	709	\N
675	699	\N
1859	\N	\N
703	718	\N
707	722	\N
700	716	\N
1647	1347	\N
717	730	\N
701	\N	\N
1707	445	\N
714	726	\N
722	848	\N
1684	\N	\N
721	728	\N
713	\N	\N
1785	1403	\N
719	\N	\N
2665	\N	\N
725	729	\N
715	\N	\N
716	\N	\N
723	809	\N
1722	\N	\N
668	737	\N
1736	\N	\N
731	\N	\N
726	731	\N
729	\N	46
733	735	\N
709	\N	\N
1772	\N	\N
718	\N	\N
730	733	\N
740	739	\N
728	\N	\N
743	742	\N
696	713	\N
1571	1276	\N
739	738	\N
737	\N	\N
741	740	\N
727	\N	\N
742	741	\N
744	743	\N
747	746	\N
746	745	\N
736	\N	\N
694	\N	\N
732	\N	\N
735	\N	\N
764	757	\N
1610	1305	\N
765	\N	\N
1648	1327	\N
753	\N	\N
776	770	\N
762	794	\N
1685	1350	\N
769	762	\N
1712	\N	151
771	764	\N
760	755	\N
767	761	\N
1723	1373	\N
768	760	\N
777	771	\N
791	781	\N
778	772	\N
774	\N	\N
779	\N	\N
773	768	\N
3591	2351	\N
784	775	\N
790	780	\N
2368	\N	\N
783	\N	\N
3095	2105	\N
785	776	\N
782	774	\N
795	786	\N
801	791	\N
789	782	\N
788	778	\N
794	785	\N
792	783	\N
798	938	\N
786	777	\N
793	784	\N
796	787	\N
1572	1277	\N
734	789	\N
750	748	\N
755	751	\N
766	758	\N
772	765	\N
1611	1306	\N
813	\N	\N
1649	1328	\N
817	806	\N
