145	445	5	\N	closed	accepted	\N	\N	f
142	843	5	\N	closed	withdrawn	\N	\N	f
171	487	5	\N	closed	withdrawn	\N	\N	f
148	843	5	\N	closed	withdrawn	\N	\N	f
149	843	5	\N	closed	declined		\N	f
150	843	5	\N	closed	declined		\N	f
152	843	5	\N	closed	declined		\N	f
153	843	5	\N	closed	declined		\N	f
154	843	5	\N	closed	declined		\N	f
155	843	5	\N	closed	declined		\N	f
161	375	5	\N	closed	withdrawn	\N	\N	f
157	843	5	\N	closed	withdrawn	\N	\N	f
162	375	5	\N	closed	withdrawn	\N	\N	f
126	1748	5	\N	closed	accepted	\N	\N	f
136	176	5	\N	closed	accepted	\N	\N	f
139	344	5	\N	closed	accepted	\N	\N	f
163	840	5	\N	closed	accepted	\N	\N	f
1898	1596	56	\N	open	\N	\N	\N	f
542	241	8	\N	closed	accepted	\N	\N	f
1415	2303	22	\N	closed	expired	\N	\N	f
1151	2099	41	17928	closed	\N	\N	\N	f
1236	2210	50	\N	open	\N	\N	\N	f
255	899	1	\N	closed	declined	Dates all passed	\N	f
304	840	10	\N	closed	withdrawn	\N	\N	f
715	2222	8	\N	closed	accepted	\N	\N	f
189	2090	5	\N	closed	withdrawn	\N	\N	f
176	452	5	\N	closed	expired	\N	\N	f
180	1312	5	\N	closed	expired	\N	\N	f
205	1991	6	\N	closed	expired	\N	\N	f
211	1261	5	\N	closed	expired	\N	\N	f
217	942	6	\N	closed	expired	\N	\N	f
215	423	2	\N	closed	expired	\N	\N	f
219	201	5	\N	closed	expired	\N	\N	f
229	177	6	\N	closed	expired	\N	\N	f
227	224	6	\N	closed	expired	\N	\N	f
195	201	1	16350	closed	\N	\N	\N	f
231	2084	2	\N	closed	expired	\N	\N	f
185	1497	1	16351	closed	\N	\N	\N	f
233	347	6	\N	closed	expired	\N	\N	f
193	132	1	16352	closed	\N	\N	\N	f
235	675	6	\N	closed	expired	\N	\N	f
213	535	6	16362	closed	\N	\N	\N	f
183	535	5	\N	closed	accepted	\N	\N	f
80	1798	1	\N	closed	declined	All dates are open for the summer for artists wishing to book a specific date.	\N	f
124	493	1	\N	closed	declined	HI Anna, All dates are open for the summer for artists wishing to book a specific date. Hit me up when you are ready. A	\N	f
173	2084	1	\N	closed	declined	All dates are open for the summer for artists wishing to book a specific date.	\N	f
241	1628	6	\N	closed	expired	\N	\N	f
225	1745	6	16378	closed	\N	\N	\N	f
249	343	6	\N	closed	expired	\N	\N	f
207	710	6	16379	closed	\N	\N	\N	f
315	1898	10	\N	closed	expired	\N	\N	f
239	1061	6	\N	closed	expired	\N	\N	f
237	260	6	\N	closed	expired	\N	\N	f
245	1634	1	16410	closed	\N	\N	\N	f
243	1360	6	\N	closed	expired	\N	\N	f
247	1964	8	\N	closed	withdrawn	\N	\N	f
264	1991	11	\N	closed	expired	\N	\N	f
262	2108	8	\N	closed	withdrawn	\N	\N	f
257	1995	8	16523	closed	\N	\N	\N	f
251	840	8	\N	closed	accepted	\N	\N	f
253	224	8	\N	closed	accepted	\N	\N	f
259	2035	8	\N	closed	accepted	\N	\N	f
265	423	11	\N	closed	accepted	\N	\N	f
254	2084	8	\N	closed	accepted	\N	\N	f
1581	1404	63	\N	open	\N	\N	\N	f
361	2107	10	\N	closed	withdrawn	\N	\N	f
197	1628	5	16957	closed	\N	\N	\N	f
1020	1061	22	\N	closed	expired	\N	\N	f
319	1748	7	\N	closed	accepted	\N	\N	f
322	2060	7	\N	closed	accepted	\N	\N	f
1152	176	41	\N	closed	expired	\N	\N	f
1899	1596	41	\N	open	\N	\N	\N	f
1655	2112	59	\N	closed	withdrawn	\N	\N	f
316	2055	7	\N	closed	expired	\N	\N	f
1722	987	59	\N	open	\N	\N	\N	f
1237	452	50	17991	closed	\N	\N	\N	f
378	343	11	17089	closed	\N	\N	\N	f
356	2123	10	\N	closed	withdrawn	\N	\N	f
358	2123	2	\N	closed	withdrawn	\N	\N	f
196	1415	5	17242	closed	\N	\N	\N	f
340	229	10	\N	closed	expired	\N	\N	f
336	200	8	\N	closed	accepted	\N	\N	f
290	2112	7	\N	closed	accepted	\N	\N	f
329	487	7	\N	closed	accepted	\N	\N	f
350	1596	7	\N	closed	accepted	\N	\N	f
354	2123	7	\N	closed	accepted	\N	\N	f
338	200	10	\N	closed	expired	\N	\N	f
334	1442	11	\N	closed	expired	\N	\N	f
342	1748	11	\N	closed	expired	\N	\N	f
344	943	2	\N	closed	expired	\N	\N	f
372	1399	1	16683	closed	\N	\N	\N	f
352	2122	2	\N	closed	expired	\N	\N	f
