,about,demographic,ispublic,coverphoto,stages,hiresphotos,medialinks,headline,preferredpronouns,diversitytagids,eventnumber,venuenumber,links,Artist_Score,Profile_Rating
01f84864-1ada-41a2-9cb1-7251c8981651,1,0,0,0,0,0,1,0,0,0,0.0,0.0,0,2.0,0.0
01f90e5a-7a1e-4766-bd13-7979c353b60a,1,0,5,0,0,0,1,1,0,1,0.0,0.0,0,9.0,2.0
01fb99fa-56df-407e-b46b-47fa9d884bed,1,0,5,0,0,0,1,1,0,1,0.0,0.0,0,9.0,2.0
020e1eb1-3c10-437d-bbbe-cc7e4ce8be66,1,0,5,2,0,0,1,1,0,1,0.0,0.0,3,14.0,2.0
02184103-c48e-430b-8b3a-5f17f02a1763,1,0,5,2,0,0,1,1,0,0,0.0,0.0,5,15.0,3.0
021cff37-c429-4da4-9b36-afc6297e383f,1,1,5,2,1,1,1,0,0,0,0.042134831460674156,0.2,5,17.242134831460675,3.0
0243ddca-50ad-4b7d-9f41-ad0b9e1cf679,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,1.0,0.0
026661b6-8113-4644-af98-5b98329d78dc,1,1,5,2,1,1,1,1,0,0,0.014044943820224719,0.2,5,18.214044943820223,3.0
02b29d40-6673-4987-8463-be8a1828a5f5,1,0,5,2,0,0,1,1,0,0,0.0,0.0,5,15.0,3.0
02b642e2-1966-4984-ab18-2af731e1dd6a,1,1,5,2,1,0,1,0,0,0,0.056179775280898875,0.4,2,13.4561797752809,2.0
02cc51ca-08f6-42de-80c4-368a321ab474,1,1,0,0,0,0,1,0,0,0,0.014044943820224719,0.2,0,3.214044943820225,1.0
031cbc91-b83a-4bc7-9582-f8a614ea1767,1,0,5,0,0,0,1,1,0,0,0.0,0.0,0,8.0,1.0
035185ef-fd39-496e-af48-7f07cf96f90e,1,0,5,0,0,0,1,0,0,0,0.0,0.0,5,12.0,2.0
0353f473-961e-44f2-b312-ba257bb3b091,1,1,5,2,1,1,1,1,0,0,0.028089887640449437,0.4,5,18.42808988764045,3.0
03548f8d-ecb4-454d-b77b-5afd3273fc31,1,1,5,2,1,1,1,1,0,1,0.014044943820224719,0.2,5,19.214044943820223,3.0
03a3cdb3-be57-4f22-b1c2-48770f90cab0,1,1,5,2,1,1,1,1,0,0,0.0,0.0,5,18.0,3.0
040f65ec-618d-4ee7-bf53-c9452661fa3b,1,1,5,2,1,1,1,1,0,0,0.0,0.0,5,18.0,3.0
0428f00a-4b74-4acf-b6c2-c62f61de9bd5,0,0,5,0,0,0,0,0,0,0,0.0,0.0,0,5.0,1.0
044b56c3-a256-4f6d-b949-6eb32ab75a77,1,0,0,0,0,0,1,0,0,0,0.0,0.0,0,2.0,0.0
047371bb-8493-48ad-b9f7-e6372533586b,1,1,5,2,1,1,1,1,0,0,0.0,0.0,5,18.0,3.0
04811217-3913-4ae8-b2ba-88864784efb7,1,0,5,2,0,1,1,1,0,0,0.014044943820224719,0.2,5,16.214044943820223,3.0
04c93742-2e99-4184-830d-5146163ef4ad,1,1,0,2,1,1,1,1,0,0,0.056179775280898875,0.4,0,8.4561797752809,1.0
